time_s,dist_cm,dac_i2c
85.152,63.984376,-3712
85.293,63.984376,-3704
85.435,63.984376,-3696
85.579,63.984376,-3688
85.721,63.984376,-3680
85.864,63.984376,-3672
86.008,63.984376,-3664
86.15,63.984376,-3656
86.297,63.984376,-3648
86.445,63.984376,-3640
86.59,63.984376,-3632
86.734,63.984376,-3624
86.873,63.984376,-3616
87.014,63.984376,-3608
87.193,63.984376,-3600
87.337,63.984376,-3592
87.483,63.984376,-3584
87.628,63.984376,-3576
87.773,63.984376,-3568
87.921,63.984376,-3560
88.064,63.984376,-3552
88.207,63.984376,-3544
88.35,63.984376,-3536
88.493,63.984376,-3528
88.638,63.984376,-3520
88.786,63.984376,-3512
88.93,63.984376,-3504
89.072,63.984376,-3496
89.213,63.984376,-3488
89.356,63.984376,-3480
89.534,63.984376,-3472
89.68,63.984376,-3464
89.827,63.984376,-3456
89.972,63.984376,-3448
90.116,63.984376,-3440
90.262,63.984376,-3432
90.411,63.984376,-3424
90.554,63.984376,-3416
90.699,63.984376,-3408
90.847,63.984376,-3400
90.993,63.984376,-3392
91.137,63.984376,-3384
91.29,63.984376,-3376
91.436,63.984376,-3368
91.581,63.984376,-3360
91.727,63.984376,-3352
91.914,63.984376,-3344
92.062,63.984376,-3336
92.21,63.984376,-3328
92.358,63.984376,-3320
92.508,63.984376,-3312
92.656,63.984376,-3304
92.805,63.984376,-3296
92.949,63.984376,-3288
93.096,63.984376,-3280
93.246,63.984376,-3272
93.394,63.984376,-3264
93.547,63.984376,-3256
93.695,63.984376,-3248
93.842,63.984376,-3240
93.993,63.984376,-3232
94.143,63.984376,-3224
94.325,63.984376,-3216
94.475,63.984376,-3208
94.625,63.984376,-3200
94.777,63.984376,-3192
94.925,63.984376,-3184
95.073,63.984376,-3176
95.223,63.984376,-3168
95.372,63.984376,-3160
95.523,63.984376,-3152
95.678,63.984376,-3144
95.828,63.984376,-3136
95.977,63.984376,-3128
96.128,63.984376,-3120
96.277,63.984376,-3112
96.425,63.984376,-3104
96.571,63.984376,-3096
96.759,63.984376,-3088
96.915,63.984376,-3080
97.067,63.984376,-3072
97.224,63.984376,-3064
97.376,63.984376,-3056
97.526,63.984376,-3048
97.676,63.984376,-3040
97.826,63.984376,-3032
97.978,63.984376,-3024
98.129,63.984376,-3016
98.282,63.984376,-3008
98.44,63.984376,-3000
98.596,63.984376,-2992
98.747,63.984376,-2984
98.899,63.984376,-2976
99.051,63.984376,-2968
99.239,63.984376,-2960
99.395,63.984376,-2952
99.547,63.984376,-2944
99.7,63.984376,-2936
99.858,63.984376,-2928
100.012,63.984376,-2920
100.164,63.984376,-2912
100.317,63.984376,-2904
100.469,63.984376,-2896
100.626,63.984376,-2888
100.782,63.984376,-2880
100.934,63.984376,-2872
101.092,63.984376,-2864
101.247,63.984376,-2856
101.402,63.984376,-2848
101.557,63.984376,-2840
101.748,63.984376,-2832
101.903,63.984376,-2824
102.061,63.984376,-2816
102.222,63.984376,-2808
102.377,63.984376,-2800
102.531,63.984376,-2792
102.689,63.984376,-2784
102.846,63.984376,-2776
103.001,63.984376,-2768
103.157,63.984376,-2760
103.316,63.984376,-2752
103.473,63.984376,-2744
103.628,63.984376,-2736
103.787,63.984376,-2728
103.947,63.984376,-2720
104.109,63.984376,-2712
104.31,63.984376,-2704
104.466,63.984376,-2696
104.622,63.984376,-2688
104.785,63.984376,-2680
104.951,63.984376,-2672
105.109,63.984376,-2664
105.265,63.984376,-2656
105.421,63.984376,-2648
105.578,63.984376,-2640
105.738,63.984376,-2632
105.896,63.984376,-2624
106.058,63.984376,-2616
106.215,63.984376,-2608
106.373,63.984376,-2600
106.533,63.984376,-2592
106.691,63.984376,-2584
106.888,63.984376,-2576
107.046,63.984376,-2568
107.21,63.984376,-2560
107.372,63.984376,-2552
107.532,63.984376,-2544
107.69,63.984376,-2536
107.847,63.984376,-2528
108.005,63.984376,-2520
108.163,63.984376,-2512
108.323,63.984376,-2504
108.488,63.984376,-2496
108.649,63.984376,-2488
108.811,63.984376,-2480
108.969,63.984376,-2472
109.132,63.984376,-2464
109.292,63.984376,-2456
109.491,63.984376,-2448
109.655,63.984376,-2440
